MTS,OPEN,CLOSE,HIGH,LOW,VOLUME
2017/12/14 11:19,16394,16400,16420,16379,37.91484299
2017/12/14 11:20,16400,16436,16450,16400,46.8468387
2017/12/14 11:21,16438,16429,16473,16429,27.49910504
2017/12/14 11:22,16429,16408,16441,16401,14.82421393
2017/12/14 11:23,16407,16435,16438,16407,16.68383259
2017/12/14 11:24,16435,16460,16464,16435,16.45577825
2017/12/14 11:25,16454,16468,16469,16443,12.86706239
2017/12/14 11:26,16458,16449,16480,16449,24.3169958
2017/12/14 11:27,16449,16451,16477,16441,11.94367979
2017/12/14 11:28,16446,16451,16451,16445,20.45091258
2017/12/14 11:29,16451,16462,16476,16450,33.5661252
2017/12/14 11:30,16463,16464,16480,16454,28.16055871
2017/12/14 11:31,16465,16470,16480,16454,29.83721287
2017/12/14 11:32,16470,16476,16492,16456,62.37439114
2017/12/14 11:33,16476,16477,16480,16475,17.63551713
2017/12/14 11:34,16476,16478,16479,16466,11.9114811
2017/12/14 11:35,16478,16476,16486,16476,20.62276661
2017/12/14 11:36,16476,16428,16479,16352,68.12301318
2017/12/14 11:37,16429,16404,16429,16351,26.2213963
2017/12/14 11:38,16401,16414,16420,16390,34.55121983
2017/12/14 11:39,16407,16432,16437,16407,29.51699576
2017/12/14 11:40,16432,16428,16439,16411,23.19831759
2017/12/14 11:41,16422,16426,16437,16421,9.42993112
2017/12/14 11:42,16426,16386,16430,16385,26.84742347
2017/12/14 11:43,16386,16380,16399,16363,41.26733984
2017/12/14 11:44,16391,16392,16401,16352,20.27093519
2017/12/14 11:45,16391,16414,16419,16391,12.92699176
2017/12/14 11:46,16414,16400,16414.06988,16400,20.96957071
2017/12/14 11:47,16400,16401,16403,16400,11.09295706
2017/12/14 11:48,16402,16401,16424,16400,20.01147609
2017/12/14 11:49,16402,16415,16415,16400,12.46618642
2017/12/14 11:50,16404,16357,16423,16357,43.49556357
2017/12/14 11:51,16371,16396,16416,16371,12.7390215
2017/12/14 11:52,16404,16393,16404,16391,14.15460608
2017/12/14 11:53,16393,16419,16419,16393,23.02131305
2017/12/14 11:54,16418,16414.06988,16441,16408,36.61982211
2017/12/14 11:55,16414.06988,16419,16439,16402,25.02605718
2017/12/14 11:56,16420,16427,16436,16416,19.62961419
2017/12/14 11:57,16427,16430.37969,16433,16417,17.07263236
2017/12/14 11:58,16430,16422,16430,16415,17.58541751
2017/12/14 11:59,16422,16409,16430,16406,14.61633237
2017/12/14 12:00,16407,16424,16426,16401,18.09948204
2017/12/14 12:01,16424,16424,16430,16415,6.57434266
2017/12/14 12:02,16427,16430,16437,16425,18.12855237
2017/12/14 12:03,16430,16437,16437,16430,8.78532355
2017/12/14 12:04,16433,16447,16450,16431,24.76977194
2017/12/14 12:05,16447,16460,16467,16437,26.09031091
2017/12/14 12:06,16460,16461,16466,16460,11.59584345
2017/12/14 12:07,16460,16453,16462,16450,22.54125245
2017/12/14 12:08,16453,16454,16454,16450,9.40426508
2017/12/14 12:09,16454,16451,16461,16450,13.17179453
2017/12/14 12:10,16450,16450,16451,16450,4.95622483
2017/12/14 12:11,16450,16431,16450,16427,6.4601124
2017/12/14 12:12,16427,16421,16428,16420,6.16213329
2017/12/14 12:13,16420,16420,16426,16420,11.24440883
2017/12/14 12:14,16420,16420,16428,16403,10.55459147
2017/12/14 12:15,16420,16412,16431,16407,19.52951387
2017/12/14 12:16,16421,16419,16430,16405,9.0001736
2017/12/14 12:17,16419,16413,16431,16404,16.86209397
2017/12/14 12:18,16410,16403,16427,16401,19.97480044
2017/12/14 12:19,16404,16420,16420,16403,10.5791811
2017/12/14 12:20,16419,16420,16429,16418,17.05248048
2017/12/14 12:21,16420,16406,16429,16401,10.21071243
2017/12/14 12:22,16410,16423,16430,16407,10.6814653
2017/12/14 12:23,16423,16403,16423,16400,22.3155421
2017/12/14 12:24,16404,16414,16418,16404,9.30704735
2017/12/14 12:25,16413,16408,16429,16406,6.93074891
2017/12/14 12:26,16407,16394,16409,16379,11.15064953
2017/12/14 12:27,16385,16386,16405,16381,15.15569297
2017/12/14 12:28,16386,16411,16411,16386,11.46275379
2017/12/14 12:29,16394,16393,16425,16386,14.33423052
2017/12/14 12:30,16393,16395,16404,16386,12.09115191
2017/12/14 12:31,16398,16401,16417,16394,15.2667887
2017/12/14 12:32,16401,16387,16401,16386,41.82136411
2017/12/14 12:33,16387,16404,16415,16386,25.86969817
2017/12/14 12:34,16402,16407,16418,16401,34.66488602
2017/12/14 12:35,16412,16415,16420,16407,15.94152501
2017/12/14 12:36,16415,16398,16422,16398,33.15956849
2017/12/14 12:37,16398,16375,16402,16375,16.13349304
2017/12/14 12:38,16375,16383,16387,16375,10.49793968
2017/12/14 12:39,16383,16375,16384,16370,27.20888662
2017/12/14 12:40,16370,16372,16376,16370,11.86827554
2017/12/14 12:41,16373,16372,16393,16370,13.78233777
2017/12/14 12:42,16373,16373,16393,16371,45.66565061
2017/12/14 12:43,16374,16387,16387,16370,40.078648
2017/12/14 12:44,16370,16380,16391,16370,22.1302695
2017/12/14 12:45,16380,16371,16393,16355,39.82935667
2017/12/14 12:46,16372,16334,16376,16323,29.74385749
2017/12/14 12:47,16334,16325,16340,16325,12.18830979
2017/12/14 12:48,16335,16317,16336,16302,31.1677074
2017/12/14 12:49,16317,16294,16317,16294,25.49211877
2017/12/14 12:50,16294,16274,16295,16270,48.54236401
2017/12/14 12:51,16274,16270,16278,16270,29.21521411
2017/12/14 12:52,16270,16278,16295,16270,40.85592315
2017/12/14 12:53,16287,16281,16299,16277,30.64816769
2017/12/14 12:54,16292,16293,16296,16274,18.51396083
2017/12/14 12:55,16285,16288,16291,16278,10.11492042
2017/12/14 12:56,16288,16295,16302,16284,16.81421469
